epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,3496.69,0.93479,0.40467,0.00191,0.88546,0.84456,0.89176,0.40152,1.98757,0.8582,0.00565,0.0033567,0.0011189,0.0033567,0.0011189,0.0033567,0.0011189,0.0033567,0.0011189
91,3535.6,0.96613,0.45948,0.00188,0.84735,0.83966,0.88972,0.41614,1.98971,0.882,0.00565,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
92,3574.51,1.02646,0.46199,0.00208,0.92887,0.7682,0.89403,0.40815,1.99386,0.90338,0.00568,0.0032973,0.0010991,0.0032973,0.0010991,0.0032973,0.0010991,0.0032973,0.0010991
93,3613.18,0.98624,0.43472,0.00195,0.90822,0.83152,0.8986,0.39436,2.00253,0.89606,0.00571,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
94,3652.22,0.96788,0.44224,0.00194,0.91453,0.80927,0.89192,0.40627,1.99459,0.88074,0.00565,0.0032379,0.0010793,0.0032379,0.0010793,0.0032379,0.0010793,0.0032379,0.0010793
95,3690.79,0.96874,0.39943,0.00196,0.88998,0.84034,0.89576,0.40394,1.9984,0.8814,0.00564,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
96,3729.61,0.96948,0.42406,0.00189,0.87214,0.83193,0.87391,0.39073,2.01992,0.84089,0.00573,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595
97,3768.28,0.96153,0.42066,0.00199,0.85124,0.86556,0.89136,0.39922,2.0324,0.87171,0.0058,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
98,3806.99,0.93107,0.41209,0.00197,0.85442,0.83193,0.87513,0.39023,2.01967,0.99696,0.00574,0.0031191,0.0010397,0.0031191,0.0010397,0.0031191,0.0010397,0.0031191,0.0010397
99,3845.78,0.96801,0.41877,0.002,0.90793,0.82871,0.89222,0.4109,2.0249,0.90767,0.00573,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
100,3884.25,0.95175,0.43368,0.00197,0.88633,0.82353,0.89896,0.40701,2.03408,0.93712,0.00578,0.0030597,0.0010199,0.0030597,0.0010199,0.0030597,0.0010199,0.0030597,0.0010199
101,3922.97,0.9658,0.41429,0.00198,0.8815,0.82353,0.8982,0.41367,1.99858,0.89397,0.00564,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
102,3961.49,0.93358,0.38637,0.00189,0.90448,0.79577,0.89257,0.39233,2.03237,0.92504,0.00576,0.0030003,0.0010001,0.0030003,0.0010001,0.0030003,0.0010001,0.0030003,0.0010001
103,4000.11,0.95404,0.41517,0.00189,0.91437,0.84034,0.90668,0.39605,2.0376,0.89649,0.00577,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
104,4038.65,0.9017,0.39025,0.00181,0.93229,0.81002,0.89676,0.41279,2.02627,0.94145,0.00576,0.0029409,0.0009803,0.0029409,0.0009803,0.0029409,0.0009803,0.0029409,0.0009803
105,4076.97,0.87047,0.35696,0.00176,0.92034,0.84034,0.89827,0.41062,2.00746,0.89204,0.00568,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
106,4115.51,0.91051,0.36523,0.00179,0.91292,0.7929,0.89315,0.40825,2.01534,0.92006,0.00568,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605
107,4153.79,0.89104,0.38042,0.00179,0.9357,0.80672,0.88196,0.39973,2.01866,0.9431,0.00575,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
108,4192.16,0.88412,0.35886,0.00176,0.8742,0.81513,0.88391,0.40088,2.01091,0.99018,0.00577,0.0028221,0.0009407,0.0028221,0.0009407,0.0028221,0.0009407,0.0028221,0.0009407
109,4231.25,0.95159,0.42135,0.00193,0.90129,0.84405,0.88691,0.39464,2.00969,0.95087,0.00573,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
110,4270.51,0.9153,0.41806,0.00179,0.89384,0.81513,0.88665,0.39254,2.03655,0.95299,0.0058,0.0027627,0.0009209,0.0027627,0.0009209,0.0027627,0.0009209,0.0027627,0.0009209
111,4309,0.91949,0.34348,0.00179,0.8848,0.85714,0.90157,0.39766,2.04445,0.85853,0.00584,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
