epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,577.809,1.4107,0.55578,0.0029,0.82744,0.78992,0.84135,0.35484,2.20159,0.89467,0.00612,0.00447936,0.00149312,0.00447936,0.00149312,0.00447936,0.00149312,0.00447936,0.00149312
66,586.599,1.41491,0.59261,0.00299,0.90155,0.7696,0.86637,0.37536,2.16111,0.98487,0.00606,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
67,595.456,1.39727,0.55131,0.00287,0.85095,0.78992,0.85679,0.35486,2.16843,0.98878,0.0061,0.00443184,0.00147728,0.00443184,0.00147728,0.00443184,0.00147728,0.00443184,0.00147728
68,604.231,1.39345,0.55688,0.00286,0.84374,0.80672,0.86066,0.36139,2.2113,0.95008,0.00624,0.00440808,0.00146936,0.00440808,0.00146936,0.00440808,0.00146936,0.00440808,0.00146936
69,613.028,1.41183,0.56366,0.00299,0.87061,0.78151,0.85227,0.34084,2.23247,0.90428,0.00645,0.00438432,0.00146144,0.00438432,0.00146144,0.00438432,0.00146144,0.00438432,0.00146144
70,621.8,1.40449,0.52242,0.00287,0.88233,0.78992,0.83804,0.35788,2.19329,0.86364,0.00611,0.00436056,0.00145352,0.00436056,0.00145352,0.00436056,0.00145352,0.00436056,0.00145352
71,630.804,1.42258,0.62622,0.00288,0.82573,0.75652,0.84148,0.3496,2.22448,0.99023,0.00629,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
72,639.583,1.33174,0.52992,0.00274,0.86822,0.7751,0.86132,0.35905,2.19198,0.98625,0.00622,0.00431304,0.00143768,0.00431304,0.00143768,0.00431304,0.00143768,0.00431304,0.00143768
73,648.43,1.37561,0.58643,0.00285,0.84592,0.83043,0.86172,0.35084,2.15765,0.88409,0.00605,0.00428928,0.00142976,0.00428928,0.00142976,0.00428928,0.00142976,0.00428928,0.00142976
74,657.183,1.3561,0.55841,0.00277,0.87151,0.798,0.86335,0.35626,2.13458,0.87417,0.00608,0.00426552,0.00142184,0.00426552,0.00142184,0.00426552,0.00142184,0.00426552,0.00142184
75,665.965,1.32459,0.56735,0.00273,0.85489,0.84166,0.88327,0.35404,2.19093,0.86475,0.00617,0.00424176,0.00141392,0.00424176,0.00141392,0.00424176,0.00141392,0.00424176,0.00141392
76,674.689,1.31986,0.49868,0.00276,0.86695,0.82135,0.88443,0.35519,2.17358,0.90191,0.00611,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
77,683.419,1.31527,0.48565,0.00272,0.82326,0.79832,0.84745,0.36045,2.20975,0.89299,0.00624,0.00419424,0.00139808,0.00419424,0.00139808,0.00419424,0.00139808,0.00419424,0.00139808
78,692.19,1.34464,0.58039,0.00282,0.87949,0.78992,0.86612,0.37175,2.18444,0.91637,0.00612,0.00417048,0.00139016,0.00417048,0.00139016,0.00417048,0.00139016,0.00417048,0.00139016
79,701.194,1.34301,0.56382,0.00278,0.83132,0.82833,0.87933,0.36829,2.15654,0.95594,0.00605,0.00414672,0.00138224,0.00414672,0.00138224,0.00414672,0.00138224,0.00414672,0.00138224
80,709.933,1.34335,0.56489,0.00272,0.83809,0.82647,0.86379,0.36086,2.189,0.93707,0.00622,0.00412296,0.00137432,0.00412296,0.00137432,0.00412296,0.00137432,0.00412296,0.00137432
81,718.508,1.33273,0.48861,0.00278,0.83798,0.82582,0.83667,0.35488,2.19026,0.87828,0.00629,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
82,727.211,1.27849,0.54071,0.00252,0.86738,0.76945,0.866,0.36614,2.16278,0.86257,0.00611,0.00407544,0.00135848,0.00407544,0.00135848,0.00407544,0.00135848,0.00407544,0.00135848
83,735.861,1.32922,0.5725,0.00276,0.8412,0.78992,0.8459,0.33981,2.22979,0.9489,0.00622,0.00405168,0.00135056,0.00405168,0.00135056,0.00405168,0.00135056,0.00405168,0.00135056
84,744.475,1.30032,0.51682,0.00259,0.81356,0.82353,0.86564,0.36739,2.19156,0.91766,0.00619,0.00402792,0.00134264,0.00402792,0.00134264,0.00402792,0.00134264,0.00402792,0.00134264
85,753.145,1.32145,0.5571,0.00274,0.81672,0.82384,0.85232,0.36418,2.19469,0.86387,0.00618,0.00400416,0.00133472,0.00400416,0.00133472,0.00400416,0.00133472,0.00400416,0.00133472
86,761.719,1.29491,0.51683,0.00259,0.86238,0.83193,0.86546,0.36279,2.18187,0.78023,0.00612,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
87,770.368,1.27965,0.49838,0.00264,0.86078,0.83132,0.87152,0.35869,2.20631,0.79448,0.00619,0.00395664,0.00131888,0.00395664,0.00131888,0.00395664,0.00131888,0.00395664,0.00131888
88,779.163,1.28878,0.48986,0.00272,0.87921,0.81513,0.86531,0.35036,2.18748,0.87865,0.00621,0.00393288,0.00131096,0.00393288,0.00131096,0.00393288,0.00131096,0.00393288,0.00131096
89,787.771,1.31224,0.51233,0.00268,0.84577,0.8295,0.88304,0.35504,2.21327,0.88034,0.00631,0.00390912,0.00130304,0.00390912,0.00130304,0.00390912,0.00130304,0.00390912,0.00130304
90,796.377,1.24166,0.48903,0.00259,0.88523,0.77782,0.85395,0.35135,2.17367,0.95293,0.00611,0.00388536,0.00129512,0.00388536,0.00129512,0.00388536,0.00129512,0.00388536,0.00129512
91,804.933,1.2284,0.47383,0.00258,0.87216,0.79832,0.86574,0.34104,2.18684,0.86307,0.00619,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
92,813.552,1.293,0.55034,0.00268,0.83309,0.80672,0.86474,0.35221,2.16004,0.85028,0.0061,0.00383784,0.00127928,0.00383784,0.00127928,0.00383784,0.00127928,0.00383784,0.00127928
93,822.215,1.24728,0.51153,0.00258,0.87971,0.79832,0.88781,0.35637,2.13536,0.91628,0.006,0.00381408,0.00127136,0.00381408,0.00127136,0.00381408,0.00127136,0.00381408,0.00127136
